id,nombre,edad,salario,fecha_ingreso,ciudad,activo,compras,segmento,notas,ultima_compra
1,Luis,31.0,500000.0,2020-01-01,Barcelona,True,6.0,Básico,Alta,2023-01-01
2,,120.0,47600.922050548594,2020-01-02,Valencia,False,3.0,Básico,,2023-01-08
3,Carlos,43.0,49714.75688145967,2020-01-03,Madrid,True,50.0,Estándar,,2023-01-15
4,María,31.0,34962.05953043287,2020-01-04,Valencia,True,7.0,Estándar,,2023-01-22
5,Ana,62.0,49722.30296011415,2020-01-05,Madrid,False,5.0,Premium,,2023-01-29
6,Ana,45.0,45670.120416197926,2020-01-06,Madrid,True,10.0,Básico,,2023-02-05
7,Ana,25.0,54840.778405071345,2020-01-07,Madrid,False,4.0,Premium,Alta,2023-02-12
8,Elena,47.0,37591.53584671515,2020-01-08,Valencia,False,2.0,Premium,,2023-02-19
9,Carlos,28.0,57790.197713617585,2020-01-09,Valencia,True,3.0,Premium,Alta,2023-02-26
10,Carlos,49.0,72991.08369503866,2020-01-10,Barcelona,True,5.0,Básico,Alta,2023-03-05
11,Ana,,48368.597773147136,2020-01-11,Barcelona,True,8.0,Premium,Alta,2023-03-12
12,,,56025.67583148412,2020-01-12,Valencia,True,4.0,Premium,Alta,2023-03-19
13,Elena,,60352.159875666686,2020-01-13,Barcelona,False,3.0,Premium,,2023-03-26
14,Luis,,43981.692921712456,2020-01-14,Valencia,False,8.0,Premium,,2023-04-02
15,Ana,,53361.38722715625,2020-01-15,Barcelona,True,6.0,Premium,,2023-04-09
16,Ana,,50188.88601172692,2020-01-16,Barcelona,False,8.0,Premium,,2023-04-16
17,Luis,37.0,51465.14147823248,2020-01-17,Barcelona,False,3.0,Básico,,2023-04-23
18,María,30.0,38404.853242168,2020-01-18,Barcelona,False,3.0,Premium,Alta,2023-04-30
19,María,29.0,50367.652613884144,2020-01-19,Valencia,False,5.0,Estándar,,2023-05-07
20,Luis,30.0,57469.974368681746,2020-01-20,Barcelona,True,11.0,Premium,,2023-05-14
21,Carlos,39.0,,2020-01-21,Madrid,True,7.0,Premium,,2023-05-21
22,Ana,44.0,,2020-01-22,Valencia,False,4.0,Básico,,2023-05-28
23,Luis,43.0,,2020-01-23,Barcelona,True,3.0,Básico,,2023-06-04
24,Luis,49.0,,2020-01-24,Barcelona,True,8.0,Estándar,Alta,2023-06-11
25,María,40.0,,2020-01-25,,True,8.0,Estándar,,2023-06-18
26,Elena,57.0,,2020-01-26,Valencia,False,3.0,Básico,,2023-06-25
27,Ana,36.0,82847.04399826509,2020-01-27,Madrid,False,3.0,Básico,,2023-07-02
28,María,72.0,37875.525719672725,2020-01-28,,False,6.0,Premium,,2023-07-09
29,María,47.0,37404.17236728836,2020-01-29,Valencia,True,2.0,Básico,,2023-07-16
30,Ana,29.0,41009.11031833967,2020-01-30,Barcelona,False,7.0,Estándar,,2023-07-23
31,Carlos,27.0,18141.564135352895,,Madrid,False,5.0,Premium,,2023-07-30
32,Ana,45.0,42113.674674788585,,Valencia,True,5.0,Estándar,,2023-08-06
33,Ana,37.0,38613.01007669453,,Valencia,False,6.0,Premium,,2023-08-13
34,,48.0,52255.906797143114,,Barcelona,False,1.0,Básico,,2023-08-20
35,,45.0,55126.339636657394,,Valencia,True,10.0,Estándar,,2023-08-27
36,Elena,39.0,78142.56258823829,,Valencia,True,2.0,Premium,,2023-09-03
37,Luis,29.0,64256.35757279075,2020-02-06,Madrid,True,5.0,Premium,,2023-09-10
38,Ana,21.0,41346.44516506395,2020-02-07,Barcelona,False,4.0,Básico,Alta,2023-09-17
39,Carlos,34.0,36523.77992977463,2020-02-08,Madrid,False,5.0,Básico,,2023-09-24
40,María,50.0,57378.78757259758,2020-02-09,Valencia,False,4.0,Básico,,2023-10-01
41,Ana,42.0,30196.501894690366,2020-02-10,,True,5.0,Estándar,,2023-10-08
42,María,25.0,77471.8814878153,2020-02-11,,True,6.0,Premium,,2023-10-15
43,Ana,42.0,67691.60181081931,2020-02-12,,False,1.0,Básico,,2023-10-22
44,,44.0,42962.365218429426,2020-02-13,,False,3.0,Estándar,,2023-10-29
45,Luis,29.0,24302.98206363684,2020-02-14,,True,2.0,Estándar,Alta,2023-11-05
46,Carlos,41.0,70308.0856124812,2020-02-15,,True,5.0,Estándar,,2023-11-12
47,Luis,40.0,48281.902321210735,2020-02-16,Madrid,True,4.0,Básico,,2023-11-19
48,María,26.0,68567.24467960192,2020-02-17,Valencia,True,7.0,Básico,,2023-11-26
49,María,44.0,26083.585118084495,2020-02-18,Madrid,False,7.0,Premium,,2023-12-03
50,Ana,46.0,41009.374655693406,2020-02-19,Barcelona,True,2.0,Premium,,2023-12-10
51,,52.0,50078.65549577275,2020-02-20,Valencia,False,,Básico,,2023-12-17
52,Elena,52.0,50704.70890647113,2020-02-21,Madrid,False,,Estándar,Alta,2023-12-24
53,,23.0,43249.01792781134,2020-02-22,Madrid,False,,Estándar,,2023-12-31
54,Elena,28.0,59342.748985212485,2020-02-23,Valencia,True,,Estándar,,2024-01-07
55,María,46.0,33985.69355926108,2020-02-24,Valencia,True,,Premium,Alta,2024-01-14
56,,46.0,47864.3077246806,2020-02-25,Valencia,True,,Estándar,,2024-01-21
57,Ana,46.0,51804.434475678485,2020-02-26,Valencia,True,6.0,Premium,Alta,2024-01-28
58,Ana,86.0,57716.582510881235,2020-02-27,Barcelona,False,5.0,Premium,,2024-02-04
59,Ana,46.0,60674.223171333346,2020-02-28,Madrid,True,6.0,Estándar,Alta,2024-02-11
60,Luis,53.0,33130.36862243196,2020-02-29,Barcelona,True,5.0,Estándar,,2024-02-18
61,Luis,51.0,26988.287438965664,2020-03-01,Madrid,False,4.0,Básico,Alta,2024-02-25
62,Luis,47.0,69165.15232847763,2020-03-02,,True,7.0,Básico,Alta,2024-03-03
